company_slug,company,insurance_type,product,status,path,pages,bytes,sha256,http_status,content_type,collected_at,source_url,landing_page,error
meritz-fire,Meritz Fire & Marine Insurance,driver,무배당 메리츠 운전자 상해 종합보험2607,not-pdf,docs/policy/meritz-fire/driver/2607.pdf,,120,474568fefa618c1790878549d3347f084e626fe801c4813a87a7b8a49ef0d189,200,text/html,2026-08-03,https://store.meritzfire.com/hp/fileDownload.do?path=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&id=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&orgFileName=6AFIK_20260713.pdf&pdfView=Y,https://store.meritzfire.com/auto-and-driver/all-lifecare-driver.do#!/,
hanwha-general,Hanwha General Insurance,health,한화손해보험 건강/소득보장 상품 약관,verified-pdf,docs/policy/hanwha-general/health/24-hanwha-general-health.pdf,100,1031805,4078c35341414a3b9b86adb6e61f112828a6490d832dfdb4c729f7191fc7de5c,200,application/pdf;charset=UTF-8,2026-08-03,https://www.hwgeneralins.com/upload/hmpag_upload/product/gain_260609.pdf,https://www.hwgeneralins.com/announce/product,
hanwha-general,Hanwha General Insurance,travel,한화손해보험 해외여행보험 약관(1),verified-pdf,docs/policy/hanwha-general/travel/25-hanwha-general-travel.pdf,8,128587,904c5df2da08fc1af2a9fa13c739dc7f3916531c1f07329670fca5c20bac7ddf,200,application/pdf;charset=UTF-8,2026-08-03,https://www.hwgeneralins.com/upload/hmpag_upload/product/abroad_CM%282606%29_01.pdf,https://www.hwgeneralins.com/announce/product,
hanwha-general,Hanwha General Insurance,travel,한화손해보험 해외여행보험 약관(2),verified-pdf,docs/policy/hanwha-general/travel/26-hanwha-general-travel.pdf,3,77181,c4a4dfd4fc9418c3abe53ccd29b2198cc50c96590aa9ab9e3a40ea4b892b1385,200,application/pdf;charset=UTF-8,2026-08-03,https://www.hwgeneralins.com/upload/hmpag_upload/product/abroad_CM%282606%29_02.pdf,https://www.hwgeneralins.com/announce/product,
nh-fire,NH NongHyup Property & Casualty Insurance,indemnity-medical,무배당 헤아림다이렉트실손의료비보험 약관,verified-pdf,docs/policy/nh-fire/indemnity-medical/27-nh-fire-indemnity-medical.pdf,78,578579,d3f72ce31ee5b885f9037f026fdf9bf6b201e6eac27329eeb304c1e6f3734a9b,200,application/pdf,2026-08-03,https://www.nhfire.co.kr/file/direct/%EB%AC%B4%EB%B0%B0%EB%8B%B9%20%ED%97%A4%EC%95%84%EB%A6%BC%EB%8B%A4%EC%9D%B4%EB%A0%89%ED%8A%B8%EC%8B%A4%EC%86%90%EC%9D%98%EB%A3%8C%EB%B9%84%EB%B3%B4%ED%97%98_%EC%95%BD%EA%B4%80.pdf,https://www.nhfire.co.kr/announce/productAnnounce/retrieveInsuranceProductsAnnounce.nhfire,
nh-fire,NH NongHyup Property & Casualty Insurance,travel,NH농협손해보험 해외여행보험 약관,verified-pdf,docs/policy/nh-fire/travel/28-nh-fire-travel.pdf,71,1593542,60c87f4f14c861add4aae0d31fd9a0bec12e3646c733dc47ef75cc579ce51350,200,application/pdf,2026-08-03,https://www.nhfire.co.kr/file/travel/Overseas_PRV.pdf,https://www.nhfire.co.kr/announce/productAnnounce/retrieveInsuranceProductsAnnounce.nhfire,
axa-fire,AXA Insurance,driver,AXA 운전자보험 보통약관,verified-pdf,docs/policy/axa-fire/driver/29-axa-fire-driver.pdf,60,442033,1b46ca0fb94f9e9d5536d9ab92e67c104acb11ed3813f7d047db66775c66540f,200,application/pdf,2026-08-03,https://www.axa.co.kr/AsianPlatformInternet/doc/internet/public/partnership_driver_provision_2201.pdf,https://www.axa.co.kr/insurance/insurance-product,
carrot-fire,Carrot General Insurance,auto,캐롯 자동차보험 약관,verified-pdf,docs/policy/carrot-fire/auto/30-carrot-fire-auto.pdf,194,4316632,c4ecb69a4bac726e7f03e8cdf59dcb24deeab485adaffddc690dfd1359ac5dcd,200,application/pdf,2026-08-03,https://www.carrotins.com/cdn/dis/doc/pdf/disclosure/car/CA00044001/terms/CA00044001_20240701_01.pdf,https://www.carrotins.com/disclosure,
db-insurance,DB Insurance,cyber,피싱·해킹 금융사기보상보험,not-pdf,docs/policy/db-insurance/cyber/17-db-insurance-cyber.pdf,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,200,,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/20250901_%ED%94%BC%EC%8B%B1%C2%B7%ED%95%B4%ED%82%B9%20%EA%B8%88%EC%9C%B5%EC%82%AC%EA%B8%B0%EB%B3%B4%EC%83%81%EB%B3%B4%ED%97%98%28%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80%29.pdf,https://www.idbins.com/FWMAIV1534.do,
meritz-fire,Meritz Fire & Marine Insurance,driver,무배당 메리츠 운전자 상해 종합보험2607,not-pdf,docs/policy/meritz-fire/driver/23-meritz-fire-driver.pdf,,120,474568fefa618c1790878549d3347f084e626fe801c4813a87a7b8a49ef0d189,200,text/html,2026-08-03,https://store.meritzfire.com/hp/fileDownload.do?path=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&id=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&orgFileName=6AFIK_20260713.pdf&pdfView=Y,https://store.meritzfire.com/auto-and-driver/all-lifecare-driver.do#!/,
